K Ashwin Kumar,Abdul Quamar
Steven Euijong Whang,Hector GarciaMolina
Yasin N Silva,PerAring
Wei Kang,Anthony K H Tung
Chen Jason Zhang,Lei Chen
Marek Ciglan,Alex Averbuch
Juuml,rgen Umbrich
Ahmed Eldawy,Mohamed F Mokbel
Wen Hua,Zhongyuan Wang
Mona Gupta,Happy Mittal
Nguyen Quoc Viet Hung,Nguyen Thanh Tam
Kyriacos E Pavlou,Richard T Snodgrass
Jun Gao,Jiashuai Zhou
RongHua Li,Jeffrey Xu Yu
Erietta Liarou,Stratos Idreos
Mehdi Kargar,Aijun An
Xiufeng Liu,Lukasz Golab
Viktor Leis,Alfons Kemper
Ziawasch Abedjan,Toni Gruuml
Pei Lee,Laks V S Lakshmanan
Nikolay Laptev,Kai Zeng
Anastasios Arvanitis,Georgia Koutrika
Yongxin Tong,Rui Meng
Lei Chen,Dongwon Lee
Can Wang,Zhong She
Daniel Schall,Theo Hauml
Albert Yu,Pankaj K Agarwal
Floris Geerts,Giansalvatore Mecca
Anastasia Ailamaki,Erietta Liarou
Long Yuan,Lu Qin
Jia Xu,Zhenjie Zhang
Mehmet Kuzu,Mohammad Saiful Islam
An Liu,Kai Zheng
Guuml,nes Aluccedil
Farhan Tauheed,Laurynas Biveinis
Kai Zheng,Han Su
Mianwei Zhou,Hongning Wang
Saket Sathe,Karl Aberer
David B Lomet,Faisal Nawab
Yuchen Li,Zhifeng Bao
Mehdi Kargar,Aijun An
Stefanie Scherzinger,Thomas Cerqueus
Yanhua Li,Jun Luo
Justin J Levandoski,David B Lomet
Zhitao Shen,Muhammad Aamir Cheema
Dong Deng,Guoliang Li
Rohit Jain,Sunil Prabhakar
Stephan Baumann,Peter A Boncz
Holger Pirk,Stefan Manegold
Georgia Koutrika,Lei Liu
Siarhei Bykau,Flip Korn
Cuneyt Gurcan Akcora,Barbara Carminati
Michael Stonebraker,Anastasia Ailamaki
Lukasz Golab,Theodore Johnson
Wenlei Xie,Yuanyuan Tian
Shaoxu Song,Lei Chen
Wentian Lu,Gerome Miklau
Chuanfei Xu,Yu Gu
Saad Aljubayrin,Jianzhong Qi
Graham Cormode,Cecilia M Procopiuc
Zhengkui Wang,Qi Fan
Jesuacute,s CamachoRodriacute
Kai Zheng,Yu Zheng
Yun Ma,Qing Li
Xu Chu,Ihab F Ilyas
Mohammadreza Najafi,Mohammad Sadoghi
Vasvi Kakkad,Akon Dey
Younghoon Kim,Kyuseok Shim
Yinghui Wu,Shengqi Yang
Elke Achtert,Sascha Goldhofer
Hannes Voigt,Patrick Damme
Zhongyuan Wang,Haixun Wang
Rubi Boim,Ohad Greenshpan
Nora Derouiche,Bogdan Cautis
Mohammad Sadoghi,HansArno Jacobsen
Taesung Lee,Zhongyuan Wang
Lu An Tang,Xiao Yu
Xun Yi,Russell Paulet
Yong Zeng,Zhifeng Bao
Junfeng Zhou,Zhifeng Bao
Wenfei Fan,Floris Geerts
Wenqing Lin,Xiaokui Xiao
Hongzhi Yin,Bin Cui
Ruilin Liu,Guan Wang
Farhan Tauheed,Thomas Heinis
Yu Cao,Xiaoyan Guo
Ye Wang,Srinivasan Parthasarathy
Liang Zhao,Sherif Sakr
Ilia Petrov,Robert Gottstein
Guanfeng Liu,Kai Zheng
Ashraf Aboulnaga,Shivnath Babu
Nicoleta Preda,Fabian M Suchanek
Lingkun Wu,Wenqing Lin
Adi Botea,Stefano Braghin
Haibo Hu,Jianliang Xu
Xiaoli Wang,Xiaofeng Ding
Walaa Eldin Moustafa,Amol Deshpande
Katsiaryna Mirylenka,Themis Palpanas
Inah Jeon,Evangelos E Papalexakis
Amr Magdy,Louai Alarabi
Pei Lee,Laks V S Lakshmanan
Sofiane Abbar,Habibur Rahman
Akon Dey,Alan Fekete
Nan Li,Ziyu Guan
Nguyen Quoc Viet Hung,Nguyen Thanh Tam
Ming Gao,Cheqing Jin
Abdeltawab M Hendawi,Jie Bao
Wangda Zhang,Reynold Cheng
Anders Skovsgaard,Darius Sidlauskas
Yang Cao,Wenfei Fan
Guuml,nes Aluccedil
David B Lomet,Alan Fekete
Hyuck Han,Seongjae Park
Cheng Long,Raymond ChiWing Wong
Haibo Hu,Qian Chen
Chengyu Wang,Ming Gao
Tobias Emrich,HansPeter Kriegel
Andy Yuan Xue,Rui Zhang
David Schwalb,Martin Faust
Wush ChiHsuan Wu,MiYen Yeh
Richard T Snodgrass,Dengfeng Gao
Jongwuk Lee,Hyunsouk Cho
Arvind Arasu,Ken Eguro
Majed Sahli,Essam Mansour
Wenfei Fan,Xin Wang
Yuqing Zhu,Philip S Yu
Xin Luna Dong,Divesh Srivastava
Zheng Li,Tingjian Ge
Kyriacos E Pavlou,Richard T Snodgrass
Maksims Volkovs,Fei Chiang
Jiajun Liu,Zi Huang
Katja Hose,Ralf Schenkel
Juuml,rgen Umbrich
Han Su,Kai Zheng
Asma Souihli,Pierre Senellart
Xuan Hong Dang,Ira Assent
Umar Farooq Minhas,Rui Liu
Charu C Aggarwal,Philip S Yu
Dhaval Patel,Chang Sheng
Jiefeng Cheng,Qin Liu
Hua Lu,Christian S Jensen
Jie Bao,Mohamed F Mokbel
Chunyao Song,Zheng Li
Minqi Zhou,Heng Tao Shen
Daniel Deutch,Amir Gilad
Jing Li,Man Lung Yiu
Damian Bursztyn,Franccedil
Sarath Kumar Kondreddi,Peter Triantafillou
Foto N Afrati,Dimitris Fotakis
Danica Porobic,Erietta Liarou
Pinghui Wang,Junzhou Zhao
Bin Liu,WangPin Hsiung
Mithila Nagendra,K Selccedil
Akon Dey,Gajanan S Chinchwadkar
Thao N Pham,Panos K Chrysanthis
Michael Shekelyan,Gregor Josseacute
Chen Xu,Fan Xia
Charu C Aggarwal,Yuchen Zhao
Jian Dai,Bin Yang
Wenqing Lin,Xiaokui Xiao
Zechao Shang,Jeffrey Xu Yu
RongHua Li,Jeffrey Xu Yu
Kai Zheng,Yu Zheng
Nguyen Thanh Tam,Nguyen Quoc Viet Hung
Lei Liu,Georgia Koutrika
Chen Liu,Anthony K H Tung
Manish Gupta,Jing Gao
Lu An Tang,Yu Zheng
Gheorghi Guzun,Guadalupe Canahuate
Lukasz Golab,Howard J Karloff
Arijit Khan,Yinghui Wu
Hien To,Gabriel Ghinita
Yongming Luo,George H L Fletcher
Justin J Levandoski,PerAring
Xiaochen Zhu,Shaoxu Song
Chris Douglas,Carlo Curino
Emmanuel Muuml,Patricia Iglesias Saacute
Odysseas Papapetrou,Minos N Garofalakis
Dhaval Patel,Wynne Hsu
Matthias J Sax,Maluacute
Vasilis Verroios,Hector GarciaMolina
Foto N Afrati,Anish Das Sarma
Zhixian Zhang,Kenny Q Zhu
Martin Kaufmann,Peter M Fischer
Amr Magdy,Mohamed F Mokbel
Yubao Wu,Ruoming Jin
Hao Huang,Yunjun Gao
Wei Feng,Chao Zhang
Martin Kaufmann,Peter M Fischer
Jianzhong Qi,Rui Zhang
Xuchuan Shen,Lei Zou
Xin Luna Dong,Divesh Srivastava
Ji Zhang,Hua Wang
Jun Gao,Chang Zhou
Pit Fender,Guido Moerkotte
Zach Jorgensen,Ting Yu
Eugene Wu,Samuel Madden
TuanAnh Nguyen Pham,Xutao Li
PoYuen Wong,TakMing Chan
Arvind Arasu,Ken Eguro
Philipp Langer,Patrick Schulze
Barbara Carminati,Elena Ferrari
Denilson Barbosa,Haixun Wang
Hang Zhang,Hongzhi Wang
Changjiu Jin,Sourav S Bhowmick
Yuhong Li,Leong Hou U
Xin Cao,Lisi Chen
Guangyan Huang,Jing He
Xu Chu,Ihab F Ilyas
Willis Lang,Srinath Shankar
Anish Das Sarma,Aditya G Parameswaran
Peng Peng,Raymond ChiWing Wong
Reynold Cheng,Jian Gong
Yagiz Kargin,Martin L Kersten
Dong Deng,Guoliang Li
Bhargav Kanagal,Amr Ahmed
Yuan Fang,Kevin ChenChuan Chang
Benjamin Djahandideh,Franccedil
Toni Gruuml,Gjergji Kasneci
Justin J Levandoski,Mohamed Sarwat
Senjuti Basu Roy,Saravanan Thirumuruganathan
Mohammad Sadoghi,HansArno Jacobsen
RongHua Li,Jeffrey Xu Yu
Jianneng Cao,FangYu Rao
Luyi Mo,Reynold Cheng
Miao Qiao,Hong Cheng
Renata BorovicaGajic,Stratos Idreos
Tomer Sagi,Avigdor Gal
Saket Sathe,Timos K Sellis
Changjiu Jin,Rui Liu
Holger Pirk,Florian Funke
Alexander Shkapsky,Mohan Yang
Ahmed Eldawy,Mohamed F Mokbel
Ahmed Eldawy,Mohamed F Mokbel
Wenfei Fan,Xin Wang
Yanghua Xiao,Ji Hong
Junzhou Zhao,John C S Lui
Youngchul Cha,Junghoo Cho
Giansalvatore Mecca,Paolo Papotti
Bo Zong,Ramya Raghavendra
HweeHwa Pang,Xiaokui Xiao
Feng Li,M Tamer Ouml
Badrish Chandramouli,Jonathan Goldstein
George Beskales,Ihab F Ilyas
Chen Liu,Sai Wu
Dong Deng,Guoliang Li
Xiaoyi Duan,Cheqing Jin
Hao Zhang,Gang Chen
Sarana Nutanong,Hanan Samet
Martin Kaufmann,Amin Amiri Manjili
Xin Li,Guandong Xu
Chunyao Song,Tingjian Ge
GuoJun Qi,Charu C Aggarwal
Mohamed F Mokbel,Louai Alarabi
Ahmed Eldawy,Mohamed F Mokbel
Xiangmin Zhou,Lei Chen
Wenfei Fan,Jianzhong Li
Arijit Khan,Vishwakarma Singh
Kai Zhang,Keqiang Wang
Xuan S Yang,Reynold Cheng
Jinling Jiang,Hua Lu
Chris Clifton,Tamir Tassa
Liping Peng,Vuk Ercegovac
Zoi Kaoudi,Ioana Manolescu
Chuanfei Xu,Bo Tang
Akon Dey,Alan Fekete
Pit Fender,Guido Moerkotte
Jiefeng Cheng,Xianggang Zeng
Reynold Cheng,Tobias Emrich
Matthias J Sax,Maluacute
Kaiqi Zhao,Gao Cong
Jiajun Liu,Kun Zhao
Jing Zhang,H V Jagadish
Jiajun Liu,Kun Zhao
Tyson Condie,Paul Mineiro
Prashanth Menon,Tilmann Rabl
Badrish Chandramouli,David Maier
Peter M Fischer,Jens Teubner
Han Su,Kai Zheng
Walaa Eldin Moustafa,Angelika Kimmig
Wei Kang,Anthony K H Tung
Xike Xie,Hua Lu
Hua Lu,Xin Cao
Amr Magdy,Ahmed M Aly
Denilson Barbosa,Haixun Wang
Bolong Zheng,Nicholas Jing Yuan
Arlei Silva,Petko Bogdanov
Han Su,Kai Zheng
Xiaolan Wang,K Selccedil
Daniel Deutch,Amir Gilad
Sergej Fries,Brigitte Boden
Ling Gu,Minqi Zhou
Kai Zeng,Mohan Yang
PerAring,ke Larson
Ziawasch Abedjan,JorgeArnulfo Quianeacute
Guohui Ding,Guoren Wang
Yan Chen,Xin Li
Kai Yang,Zhenhong Chen
Himel Dev,Mohammed Eunus Ali
Xiao Zhang,Wan Guo
Limin Guo,Guangyan Huang
Yili Fang,Hailong Sun
An Liu,Qing Li
Wentao Fan,Nizar Bouguila
Chao Kong,Ming Gao
Martin Faust,Martin Grund
Xike Xie,Hua Lu
Saeid Hosseini,Sayan Unankard
Yuanjun Bi,Weili Wu
Zhipeng Xie,Liyang Jiang
Hongting Niu,Junming Liu
Yubin Bao,Zhigang Wang
Antoine Amarilli,Yael Amsterdamer
Weikeng Chen,Zhou Zhao
Keqiang Wang,Xiaoyi Duan
Yanghui Rao,Jun Li
Xiaoyan Guo,Yu Cao
Dimitrios Karapiperis,Dinusha Vatsalan
Nguyen Quoc Viet Hung,Do Son Thanh
Freacute,deacute
Peisen Yuan,Chaofeng Sha
Gang Yu,Zhiyan Wang
Sen Su,Han Yan
Qing Wang,KlausDieter Schewe
R Uday Kiran,Masaru Kitsuregawa
Ye Wang,Hong Liu
Peiquan Jin,Jiang Du
Yifu Huang,Shuigeng Zhou
Xin Xu,Wei Wang
Shuchen Li,Xiang Cheng
HongYun Cai,Zi Huang
Chuanyu Zong,Xiaochun Yang
Silviu Homoceanu,WolfTilo Balke
Guohui Ding,Han Dong
Zhengkui Wang,Yan Chu
Zheng Huo,Xiaofeng Meng
Kaiqi Zhang,Donghua Yang
Ye Ding,Jiangchuan Zheng
Ira Assent,Philipp Kranen
Markus Endres,Patrick Roocks
Xiaoying Wu,Dimitri Theodoratos
Md Rezaul Karim,Md Mamunur Rashid
Zhihu Qian,Jiajie Xu
Cem Aksoy,Aggeliki Dimitriou
Patrick Roocks,Markus Endres
Younghoon Kim,Kyuseok Shim
Kasun S Perera,Martin Hahmann
Jiazhen He,James Bailey
Son T Mai,Ira Assent
Sayan Unankard,Xue Li
Jun Li,Jiamin Qin
Chaofeng Sha,Keqiang Wang
Qi Fan,Zhengkui Wang
KlausDieter Schewe,Qing Wang
Yongshan Zhang,Jia Wu
Lizi Liao,Heyan Huang
Yinglong Zhang,Cuiping Li
Tao Jiang,Zhanhuai Li
Nikos Bikakis,Karim Benouaret
Hanhan Jiang,Pengpeng Zhao
Philipp Kranen,Hardy Kremer
Li Wang,Rong Zhang
Chen Xu,Mohamed A Sharaf
Wei Chen,Xiangyu Zhao
Latifur Khan,Wei Fan
Xiaoyan Guo,Yu Cao
Shoko Wakamiya,Ryong Lee
Ruiming Tang,Dongxu Shao
Zhenguang Liu,Hao Huang
Lei Hou,Juanzi Li
Xiangyu Liu,Xiaochun Yang
Peiquan Jin,Tong Cui
Junjie Wang,Lihua Yue
David Maier,V M Megler
Kyuseok Shim,Sang Kyun Cha
Huayu Wu,Ruiming Tang
MingLiang Yue,Zhiyong Peng
Hualin Mao,Mingjun Xiao
Lei Chen,Xiang Lian
Jiaying Wang,Xiaochun Yang
Qing Liu,Talel Abdessalem
Jianneng Cao,Yongluan Zhou
David Schwalb,Martin Faust
Nguyen Quoc Viet Hung,Nguyen Thanh Tam
Tao Wang,Yi Cai
Hieu Hanh Le,Satoshi Hikida
Xiaoyi Duan,Cheqing Jin
Kinda El Maarry,WolfTilo Balke
Zhou Zhao,Furu Wei
LinLin Ding,Junchang Xin
Yulei Fan,Wei Cao
Juan Du,Wei Xie
Wei Chen,Feida Zhu
Tao Yang,Jinchuan Chen
Pengpeng Zhao,Xiaopeng Kuang
Xing Chen,Lin Li
Meng Zhao,Hiroaki Ohshima
Kinda El Maarry,WolfTilo Balke
Christoph Lofi,Ralf Krestel
Tobias Emrich,HansPeter Kriegel
Yinglong Zhang,Cuiping Li
Guanfeng Liu,Lei Zhao
Dan Yin,Hong Gao
Nguyen Quoc Viet Hung,Do Son Thanh
Hyungsoo Jung,Hyuck Han
Dong Wang,Lei Zou
Jinchuan Chen,Min Zhang
Deqing Yang,Yanghua Xiao
Michael Shekelyan,Gregor Josseacute
Nina Hubig,Andreas Zuuml
Teng Wang,Qing Zhu
Jiang Wang,Yuqing Zhu
Jianhui Pang,Xiangsheng Li
Zheng Huo,Xiaofeng Meng
Dong Wang,Wei Cao
Zhongbin Xue,Xiongpai Qin
Md Mamunur Rashid,Md Rezaul Karim
Senzhang Wang,Honghui Zhang
Chiraz Trabelsi,Sadok Ben Yahia
Bolei Zhang,Zhuzhong Qian
Saad Aljubayrin,Zhen He
Zhongbin Xue,Xuan Zhou
Petrie Wong,Duncan Yung
Xiangyu Zhao,Wei Chen
Hao Yang,Lei Duan
HongYun Cai,Zi Huang
Qing Liu,Yunjun Gao
Xin Luna Dong,Divesh Srivastava
Satoshi Hikida,Hieu Hanh Le
Xiaolu Zhang,Yueguo Chen
PoYuen Wong,TakMing Chan
Ba Quan Truong,Sourav S Bhowmick
Jiajie Xu,Guanfeng Liu
Xiaoying Wu,Dimitri Theodoratos
Ba Quan Truong,Sourav S Bhowmick
Jiangtao Wang,Zhiliang Guo
Xiaofeng Ding,Qing Yu
Marwan Hassani,Thomas Seidl
Marwan Hassani,Yunsu Kim
Xin Huang,Hong Cheng
Jiajia Li,Botao Wang
Bing Li,Bin Wang
Mouhamadou Lamine Ba,Seacute
Dong Wu,Kai Yang
Yanxia Xu,Guanfeng Liu
Yurong Cheng,Ye Yuan
Wenjie Zhang,Jing Xu
Himel Dev,Mohammed Eunus Ali
Chen Xu,Minqi Zhou
Chuanyu Zong,Bin Wang
Junfeng Zhou,Zhifeng Bao
Liang Wu,Alvin Chin
Zhenhong Chen,Kai Yang
Yuya Sasaki,WangChien Lee
Jiangtao Wang,Zhiliang Guo
Juan Du,Feida Zhu
Qian Yu,Zhiyong Peng
Daniel Schall,Theo Hauml
MingLiang Yue,Hong Gao
Qianlu Lin,Ying Zhang
Zhigang Wang,Yu Gu
Xiangyu Zhao,Tong Xu
Zhipeng Xie,Liyang Jiang
Xiao Li,Xiang Cheng
Rui Wang,Lihua Yue
Enliang Xu,Wynne Hsu
Weixiong Rao,Lei Chen
Qianlu Lin,Ying Zhang
Mingxuan Yuan,Lei Chen
Werner Nutt,Simon Razniewski
Sen Su,Yiping Teng
Irene Ntoutsi,Kostas Stefanidis
Xiangsheng Li,Jianhui Pang
Dan Yin,Hong Gao
Kaiqi Zhang,Hong Gao
Xiaoyan Guo,Jidong Chen
Zhu Zhu,Jingjing Wang
Yaxuan Wang,Hongzhi Wang
Jiangtao Cui,Zi Huang
Wenjuan Cui,Pengfei Wang
Xiaofeng Ding,Jianhong Jia
Chao Wu,Yi Cai
Yan Yan,Zhaowei Tan
Erich Schubert,Arthur Zimek
Ramnath Balasubramanyan,Bhavana Bharat Dalvi
Marco Lippi,Andrea Passerini
Nenad Tomasev,Dunja Mladenic
Haitham BouAmmar,Decebal Constantin Mocanu
Disheng Qiu,Paolo Papotti
Xian Wu,Ziming Feng
Jinseok Nam,Jungi Kim
Weixiang Shao,Lifang He
Miguel Araujo,Stephan Guuml
Ayan Acharya,Aditya Rawal
Xuan Hong Dang,Barbora Micenkovaacute
Faacute,bio Pinto
Joni Pajarinen,Jaakko Peltonen
Matthew B Blaschko,Wojciech Zaremba
Mehdi Kargar,Aijun An
Michael Groszlig,Christoph Sawade
Qiang Qu,Siyuan Liu
Tam T Nguyen,Kuiyu Chang
Michele Berlingerio,Veli Bicer
Yu Zhang,DitYan Yeung
Koh Takeuchi,Yoshinobu Kawahara
Hongyang Zhang,Zhouchen Lin
Julian Yarkony,Thorsten Beier
Gaurav Misra,Behzad Golshan
Didi Surian,Sanjay Chawla
Martin Atzmueller,Florian Lemmerich
Meng Fang,Jie Yin
Meelis Kull,Peter A Flach
Florian Lemmerich,Martin Becker
Josif Grabocka,Alexandros Nanopoulos
Yuhong Guo,Dale Schuurmans
JunMing Xu,Aniruddha Bhargava
Bruno Scherrer,Matthieu Geist
Arno Siebes,Reneacute
Xianghang Liu,Xinhua Zhang
Francesco Buccafurri,Gianluca Lax
Saurabh Paul,Petros Drineas
Michal Aharon,Eshcar Hillel
Robert William Wright,Steven Loscalzo
Yahel David,Nahum Shimkin
Yinjie Huang,Cong Li
Prashanth L A,Nathaniel Korda
Robert Peharz,Bernhard C Geiger
Changwei Hu,Piyush Rai
Jinseok Nam,Eneldo Loza Menciacute
Martin Atzmueller,Andreas Ernst
HsunPing Hsieh,ChengTe Li
Seacute,bastien Destercke
Elio Masciari,Shi Gao
Ralf Eggeling,Andreacute
Grigorios Tzortzis,Aristidis Likas
Chao Zhang,Shan Jiang
Tao Jiang,Zhanhuai Li
Seacute,bastien Destercke
Akram Baransi,OdalricAmbrym Maillard
Tahrima Rahman,Prasanna Kothalkar
Michael Kamp,Mario Boley
Priyanka Agrawal,Lavanya Sita Tekumalla
Rina Okada,Kazuto Fukuchi
Qing Liao,Qian Zhang
Adriagrave,Recasens
Michael Davis,Weiru Liu
Fabio Leuzzi,Stefano Ferilli
Yahel David,Nahum Shimkin
Thanh Le Van,Matthijs van Leeuwen
David Tse Jung Huang,Yun Sing Koh
Mohammad Gheshlaghi Azar,Alessandro Lazaric
Stefano Ermon,Yexiang Xue
Martin Wistuba,Nicolas Schilling
Corrado Loglisci,Donato Malerba
Xin Jin,Fuzhen Zhuang
Rohit Kumar,Toon Calders
Michele Berlingerio,Francesco Calabrese
Philip Bachman,Doina Precup
Anshumali Shrivastava,Ping Li
Adway Mitra,Ranganath B N
Evangelos E Papalexakis,Christos Faloutsos
Fuzhen Zhuang,Xiaohu Cheng
Xuan Hong Dang,Ambuj K Singh
Jilles Steeve Dibangoye,Olivier Buffet
Zhanxing Zhu,Amos J Storkey
Michele Berlingerio,Stefano Braghin
Wenchao Yu,Guangxiang Zeng
Alexander G Ororbia II,David Reitter
Houssam Nassif,Finn Kuusisto
Paul Mineiro,Nikos Karampatziakis
Daniel Urieli,Peter Stone
Maximilian Nickel,Volker Tresp
Maximilian Nickel,Volker Tresp
Bo Jiang,Chris H Q Ding
Yuxiao Dong,Nitesh V Chawla
Antoine Bordes,Jason Weston
Yasir Mehmood,Nicola Barbieri
Shaohua Li,Gao Cong
Michael Davis,Weiru Liu
Deguang Kong,Miao Zhang
Alicja Wieczorkowska,Elzbieta Kubera
Jingu Kim,Taneli Mielikauml
Ruilin Liu,Wendy Hui Wang
Amos J Storkey,Zhanxing Zhu
Shuyang Lin,Qingbo Hu
Michael Kamp,Christine Kopp
David Tolpin,JanWillem van de Meent
TzuKuo Huang,Jeff G Schneider
Weiwei Cheng,Eyke Huuml
Tivadar Papai,Shalini Ghosh
Elise Desmier,Marc Plantevit
Jiangtao Yin,Lixin Gao
Min Xiao,Yuhong Guo
Panagiotis Symeonidis,Christos Perentis
Feiping Nie,Xiao Cai
Junpei Komiyama,Hidekazu Oiwa
Corrado Loglisci,Michelangelo Ceci
Thomas Seidl,Brigitte Boden
Ehsan Amid,Aristides Gionis
Sebastian Wagner,Max Zimmermann
P K Srijith,Shirish Krishnaj Shevade
Babak Ahmadi,Kristian Kersting
Dirk Schauml,Eyke Huuml
Aonan Zhang,Jun Zhu
Yong Liu,Shizhong Liao
Matthijs van Leeuwen,Antti Ukkonen
Andreacute,Lourenccedil
Albert Bifet,Jesse Read
Sam Blasiak,Huzefa Rangwala
Sebastian Tschiatschek,Franz Pernkopf
Yuxiao Dong,Jie Tang
Eyke Huuml,llermeier
Shuo Yang,Sriraam Natarajan
Elzbieta Kubera,Alicja A Wieczorkowska
Peilin Zhao,Steven C H Hoi
Florian Lemmerich,Martin Becker
Natalia V Andrienko,Gennady L Andrienko
Louise A C Millard,Meelis Kull
Houssam Nassif,Viacute
David Tolpin,JanWillem van de Meent
